Price,SquareFootage,SchoolRating,RenovationQuality,Garage,CrimeRate,LocalAmenities
240955.9111,1158.48,4.65,3.19,1,44.39,8.33
430986.6528,1290.08,6.71,5.49,0,40.42,2.64
287671.3808,1169.91,10.0,3.97,0,9.1,4.81
327234.4101,1077.72,10.0,9.29,1,2.3,5.3
354322.8696,1771.08,7.69,7.5,1,38.15,4.93
254894.2626,966.69,6.26,4.99,0,33.42,1.96
107623.8968,550.0,3.57,1.39,1,39.43,7.69
374446.7031,1345.5,7.25,6.72,1,21.85,5.02
197713.3609,959.11,6.4,2.33,0,29.51,7.13
159865.7763,1373.24,6.72,2.22,1,18.73,8.29
517953.9197,1476.34,9.93,7.68,0,8.67,5.73
344358.9229,550.0,4.94,6.17,0,34.49,10.0
542981.5677,1327.95,10.0,10.0,0,10.3,10.0
196839.3153,583.36,5.08,2.42,1,24.75,3.09
461667.4612,1041.61,7.85,6.2,0,38.52,9.8
144117.9962,965.86,2.94,3.56,0,14.35,3.23
432803.8536,998.05,8.38,6.5,1,1.27,2.92
210757.905,1587.62,9.17,5.31,0,27.16,3.62
167799.645,607.09,2.6,4.14,0,15.96,10.0
336931.2384,550.0,6.17,4.85,0,3.96,9.03
620761.0913,1417.85,8.69,8.74,0,41.78,8.18
151361.7125,941.81,7.08,4.45,0,22.22,5.0
317313.6928,1765.85,8.83,4.43,0,47.28,10.0
402125.0531,1022.97,7.58,6.03,0,43.53,2.39
194009.7516,1461.93,4.37,2.28,1,18.28,4.33
332227.9805,550.0,6.63,2.76,0,22.58,9.47
229002.2247,876.31,7.42,6.58,0,30.62,9.46
606509.3188,1565.11,6.98,8.62,1,28.55,8.61
218757.1645,1140.39,5.77,1.3,1,16.33,9.28
340917.3854,550.0,4.21,1.17,0,51.03,6.95
198567.0514,615.7,8.5,3.68,0,12.51,4.68
262084.584,818.79,9.72,8.61,0,7.0,4.37
404764.9182,1442.25,7.4,6.23,0,10.33,1.56
297285.8169,1281.8,7.34,8.09,0,50.4,7.9
197318.2591,556.22,9.33,3.74,1,48.64,7.04
124213.8928,833.98,4.49,5.26,0,0.46,2.78
